DATE,CSUSHPINSA
2000-01-01,100.00
2000-02-01,100.571
2000-03-01,101.46600000000001
2000-04-01,102.54
2000-05-01,103.70100000000001
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.791
2001-01-01,109.214
2001-02-01,109.641
2001-03-01,110.39299999999999
2001-04-01,111.24700000000001
2001-05-01,112.20200000000001
2001-06-01,113.272
2001-07-01,114.226
2001-08-01,114.98700000000001
2001-09-01,115.464
2001-10-01,115.68
2001-11-01,115.837
2001-12-01,116.054
2002-01-01,116.436
2002-02-01,116.916
2002-03-01,117.929
2002-04-01,119.209
2002-05-01,120.788
2002-06-01,122.333
2002-07-01,123.68700000000001
2002-08-01,124.73
2002-09-01,125.494
2002-10-01,126.13600000000001
2002-11-01,126.64200000000001
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.326
2003-03-01,129.308
2003-04-01,130.488
2003-05-01,131.839
2003-06-01,133.225
2003-07-01,134.64600000000002
2003-08-01,135.965
2003-09-01,137.076
2003-10-01,137.976
2003-11-01,138.765
2003-12-01,139.628
2004-01-01,140.705
2004-02-01,142.029
2004-03-01,144.08
2004-04-01,146.179
2004-05-01,148.334
2004-06-01,150.518
2004-07-01,152.33700000000002
2004-08-01,153.814
2004-09-01,155.108
2004-10-01,156.299
2004-11-01,157.496
2004-12-01,158.67
2005-01-01,160.13
2005-02-01,161.924
2005-03-01,164.576
2005-04-01,166.99900000000002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.097
2005-08-01,175.922
2005-09-01,177.61
2005-10-01,178.752
2005-11-01,179.674
2005-12-01,180.107
2006-01-01,180.828
2006-02-01,181.5
2006-03-01,182.74900000000002
2006-04-01,183.648
2006-05-01,184.38
2006-06-01,184.547
2006-07-01,184.607
2006-08-01,184.40400000000002
2006-09-01,184.19799999999998
2006-10-01,184.055
2006-11-01,183.63299999999998
2006-12-01,183.231
2007-01-01,182.72
2007-02-01,182.472
2007-03-01,182.19400000000002
2007-04-01,182.132
2007-05-01,181.885
2007-06-01,181.54
2007-07-01,180.993
2007-08-01,180.235
2007-09-01,179.122
2007-10-01,177.53
2007-11-01,175.162
2007-12-01,173.338
2008-01-01,171.079
2008-02-01,169.19299999999998
2008-03-01,167.905
2008-04-01,167.32299999999998
2008-05-01,167.02
2008-06-01,166.537
2008-07-01,165.71400000000003
2008-08-01,164.27900000000002
2008-09-01,161.91299999999998
2008-10-01,159.164
2008-11-01,156.072
2008-12-01,152.54399999999998
2009-01-01,149.361
2009-02-01,147.616
2009-03-01,146.514
2009-04-01,146.94299999999998
2009-05-01,148.171
2009-06-01,149.797
2009-07-01,150.748
2009-08-01,150.667
